Fold,Accuracy,Balanced_Accuracy,Precision,Recall,F1,MCC
1,0.9166666666666666,0.5,0.0,0.0,0.0,0.0
2,1.0,1.0,1.0,1.0,1.0,1.0
3,0.8333333333333334,0.5,0.0,0.0,0.0,0.0
4,1.0,1.0,1.0,1.0,1.0,1.0
5,0.9166666666666666,0.95,0.6666666666666666,1.0,0.8,0.7745966692414834
6,0.9166666666666666,0.75,1.0,0.5,0.6666666666666666,0.674199862463242
7,0.75,0.65,0.3333333333333333,0.5,0.4,0.25819888974716115
8,0.8333333333333334,0.5,0.0,0.0,0.0,0.0
9,0.8181818181818182,0.9,0.3333333333333333,1.0,0.5,0.5163977794943222
10,0.9090909090909091,0.95,0.5,1.0,0.6666666666666666,0.6708203932499369
